model_id,model_name,brand_id
1,Amaze 1.2 VX i-VTEC,1
2,Swift DZire VDI,2
3,i10 Magna 1.2 Kappa2,3
4,Glanza G,4
5,Innova 2.4 VX 7 STR [2016-2020],4
6,Ciaz ZXi,2
7,CLA 200 Petrol Sport,5
8,X1 xDrive20d M Sport,6
9,Octavia 1.8 TSI Style Plus AT [2017],7
10,Terrano XL (D),8
11,Elite i20 Sportz 1.2,3
12,Kwid 1.0 RXT [2016-2019],9
13,Ciaz Alpha Hybrid 1.5 AT [2018-2020],2
14,Harrier XZ [2019-2020],10
15,Polo GT TSI,11
16,Celerio ZXi AMT [2019-2020],2
17,Alto 800 LXi (O),2
18,Baleno Alpha Automatic,2
19,Wagon R ZXi 1.2 AMT,2
20,Creta 1.6 E Petrol,3
21,S-Presso VXi AMT,2
22,Vento Comfortline Petrol AT,11
23,Santro Sportz AMT [2018-2020],3
24,Venue SX 1.0 (O) Petrol [2019-2020],3
25,Alto LXi CNG,2
26,Ritz Zxi BS-IV,2
27,Creta 1.6 SX Plus Petrol,3
28,Brio V MT,1
29,Elite i20 Asta 1.2,3
30,WR-V VX MT Petrol,1
31,Venue SX 1.0 Turbo iMT,3
32,Creta 1.6 SX Plus AT,3
33,Ecosport Titanium+ 1.0L EcoBoost,12
34,CR-V 2.4 AT,1
35,Santro GL (CNG),3
36,Tiago Revotron XE [2016-2019],10
37,Tigor Revotorq XT,10
38,Innova 2.4 G 8 STR [2016-2017],4
39,GLC 220 d Progressive,5
40,Creta SX 1.6 CRDi (O),3
41,M-Class ML 250 CDI,5
42,Corolla Altis VL AT Petrol,4
43,A4 2.0 TDI (177bhp) Premium Plus,13
44,SLK-Class SLK 200 K,5
45,Thar CRDe 4x4 AC,14
46,Baleno Delta 1.2,2
47,Celerio VXi AMT,2
48,Ciaz VDi SHVS,2
49,Ciaz VXi,2
50,Creta SX Plus 1.6 AT CRDI,3
51,Creta SX Plus 1.6  Petrol,3
52,Kwid 1.0 RXT AMT Opt,9
53,Hector Sharp 2.0 Diesel [2019-2020],15
54,Tiago Revotron XZA [2017-2019],10
55,Innova 2.5 GX BS IV 7 STR,4
56,X3 xDrive 20d Luxury Line [2018-2020],6
57,Compass Limited Plus 2.0 Diesel 4x4 AT,16
58,Scorpio SLE BS-IV,14
59,Brio S MT,1
60,3-Series 320i Luxury Line,6
61,City V Petrol [2017-2019],1
62,Polo Highline1.2L (D),11
63,Vitara Brezza ZXi Plus,2
64,Eeco 7 STR [2019-2020],2
65,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],3
66,X3 xDrive20d,6
67,Fortuner 2.8 4x2 AT [2016-2020],4
68,Civic 1.8S MT,1
69,A4 2.0 TDI (143 bhp),13
70,Swift ZXi Plus AMT,2
71,Elite i20 Sportz 1.5 MT Diesel,3
72,A3 35 TDI Technology + Sunroof,13
73,City V CVT Petrol [2017-2019],1
74,Figo Duratorq Diesel Titanium 1.4,12
75,Jazz VX Petrol,1
76,Polo Highline1.2L (P),11
77,Amaze 1.5 SX i-DTEC,1
78,Camry 2.5L AT,4
79,Thar LX 4-STR Hard Top Petrol AT,14
80,C-Class 250 CDI Elegance,5
81,Q3 35 TDI quattro Premium Plus,13
82,Baleno Sigma 1.2,2
83,X1 sDrive20d xLine,6
84,Baleno Zeta 1.2,2
85,Vento Comfortline Petrol,11
86,C-Class 220 BlueEfficiency,5
87,Camry Hybrid,4
88,DZire VXi,2
89,Terrano XV D THP 110 PS,8
90,Wagon R LXI CNG,2
91,Vitara Brezza LDi (O) [2016-2018],2
92,X5 xDrive30d Pure Experience (5 Seater),6
93,GLC 220 d Sport,5
94,Cayenne Coupe Platinum Edition,17
95,C-Class Cabriolet C 300,5
96,Elite i20 Magna 1.2,3
97,Verna 1.6 VTVT SX,3
98,Amaze 1.2 SX i-VTEC,1
99,Corolla Altis 1.8 G,4
100,Elite i20 Sportz 1.2 (O),3
101,A6 2.0 TDI Premium,13
102,XUV300 W8 (O) 1.5 Diesel,14
103,Swift ZDi Plus,2
104,Thar LX 4-STR Hard Top Petrol MT,14
105,City 1.5 S MT,1
106,E-Class E 250 CDI Avantgarde,5
107,Fortuner 3.0 4x2 AT,4
108,Zest XM 75 PS Diesel,10
109,Rapid Ambition 1.6 MPI AT Plus,7
110,Alto 800 Lxi,2
111,Ertiga VDi,2
112,Santro GL LPG,3
113,Figo Duratorq Diesel ZXI 1.4,12
114,Harrier XZ Plus,10
115,Elite i20 Asta (O) 1.0 Turbo DCT,3
116,Swift DZire VXI,2
117,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],3
118,Nexon EV XZ Plus,10
119,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],3
120,Q2 Premium Plus I 40 TFSI quattro,13
121,Q7 45 TDI Premium Plus,13
122,Verna Fluidic 1.6 CRDi SX,3
123,Wagon R VXI,2
124,5-Series 520d Sedan,6
125,Scorpio 2.6 Turbo 7 Str,14
126,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],3
127,Ritz VXI BS-IV,2
128,Q5 45 TFSI Premium Plus,13
129,Duster RXS 1.5 Petrol MT,9
130,Creta SX 1.6 AT Petrol,3
131,Compass Limited (O) 2.0 Diesel [2017-2020],16
132,Verna EX 1.6 CRDi [2017-2018],3
133,i20 Magna 1.2,3
134,A6 35 TDI Matrix,13
135,Marazzo M2 8 STR,14
136,Seltos HTX Plus 1.5 Diesel [2020-2021],18
137,Baleno Alpha 1.2,2
138,E-Class E 220d Expression [2019-2019],5
139,Ertiga ZDI + SHVS,2
140,Verna Fluidic 1.6 VTVT SX,3
141,Discovery Sport S,19
142,GLE 250 d,5
143,Xcent S 1.2 (O),3
144,S-Class Maybach S 500,5
145,Hector Sharp 1.5 DCT Petrol [2019-2020],15
146,Astor Sharp 1.5 CVT,15
147,Duster 85 PS RxL,9
148,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],3
149,City V,1
150,C-Class C 200 Avantgarde,5
151,Elite i20 Asta 1.4 (O) CRDi,3
152,Fabia Elegance 1.6 MPI,7
153,Rapid 1.5 TDI CR Ambition Plus AT,7
154,Sonet GTX Plus 1.0 DCT [2020-2021],18
155,XUV500 W11 AT,14
156,3-Series 320d Luxury Line,6
157,GLA 200 CDI Sport,5
158,Wagon R VXi,2
159,A6 35 TDI Premium,13
160,Scorpio VLX 2WD BS-IV,14
161,Fortuner 3.0 4x4 MT,4
162,Ecosport Titanium+ 1.5L TDCi,12
163,Q7 3.0 TDI quattro Premium Plus,13
164,C-Class C 250 d,5
165,S-Presso VXi,2
166,Scorpio S5 2WD 7 STR,14
167,Hector Sharp 2.0 Diesel Turbo MT,15
168,Swift VDi BS-IV,2
169,Swift ZDi,2
170,City VX (O) MT,1
171,Innova 2.5 G4 7 STR,4
172,Duster 110 PS RxL Diesel,9
173,Q3 2.0 TDI quattro Premium,13
174,M-Class 350 CDI,5
175,V40 Cross Country D3,20
176,5-Series 530d M Sport [2013-2017],6
177,X5 xDrive 30d M Sport,6
178,City 1.5 S AT,1
179,C-Class 200 CGI,5
180,E-Class E350 CDI Avantgarde,5
181,M-Class ML 350 CDI,5
182,i20 Magna 1.4 CRDI,3
183,Rapid Style AT,7
184,Nexon XMA Petrol,10
185,Swift DZire ZDI,2
186,Sonet GTX Plus 1.5 AT [2020-2021],18
187,Rapid Monte Carlo 1.6 MPI MT,7
188,RS5 4.2 Coupe,13
189,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,3
190,R-Class R350 4MATIC,5
191,Innova 2.4 G 7 STR [2016-2017],4
192,Kwid RXT Opt,9
193,A6 2.0 TFSi Technology Pack,13
194,Safari XZA Plus 6S Adventure New,10
195,Ritz Vdi BS-IV,2
196,Brio EX MT,1
197,Scorpio S9 2WD 7 STR,14
198,Innova 2.8 GX AT 7 STR [2016-2020],4
199,Amaze VX CVT 1.2 Petrol,1
200,Compass Longitude Plus 2.0 Diesel 4x4 AT,16
201,Levante Diesel,21
202,Cayenne Turbo,17
203,Innova GX 2.4 AT 7 STR,4
204,X5 xDrive 30d,6
205,Fortuner 3.0 MT,4
206,Q7 35 TDI Premium + Sunroof,13
207,Wagon R LXi 1.0 CNG [2019-2020],2
208,Alto VXi (O),2
209,Ciaz VXi (O),2
210,Swift VDi AMT [2018-2019],2
211,C-Class C 43 AMG,5
212,E-Class E250 CDI BlueEfficiency,5
213,Nexon XZA Plus Petrol,10
214,Alto 800 Vxi,2
215,XUV500 W8,14
216,Mobilio S Diesel,1
217,Punch Creative iRA Pack MT,10
218,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],3
219,Baleno Alpha 1.3,2
220,F-Pace Prestige,22
221,Range Rover Sport SE 2.0 Petrol,19
222,Fortuner 3.0 4x4 AT,4
223,Kwid 1.0 RXT Edition,9
224,X1 sDrive20d Expedition,6
225,Wagon R LXi Minor,2
226,Elite i20 Asta 1.2 AT,3
227,3-Series 320d,6
228,XUV500 W10,14
229,Cayenne Diesel,17
230,Terrano XL D Plus,8
231,Thar LX 4-STR Hard Top Diesel AT,14
232,Discovery Sport HSE 7-Seater,19
233,5-Series 525d Sedan,6
234,Glanza G CVT,4
235,Creta 1.6 SX Plus AT Petrol,3
236,MU-X 4x2,23
237,Alto VXi,2
238,Corolla Altis G AT Petrol,4
239,i10 Sportz 1.2 AT Kappa2,3
240,Hexa XE 4x2 7 STR,10
241,i10 Sportz 1.2,3
242,GLS 350 d,5
243,Q3 2.0 TDI quattro Premium Plus,13
244,Polo Comfortline 1.2L (P),11
245,XE Prestige Diesel,22
246,Safari 4x2 EX TCIC,10
247,Q3 35 TDI Premium + Sunroof,13
248,Alto LXi BS-III,2
249,XF 3.0 V6 Premium Luxury,22
250,Verna Fluidic 1.6 VTVT SX Opt,3
251,Vitara Brezza VDi,2
252,5-Series 520d Luxury Line [2017-2019],6
253,Amaze 1.5 S i-DTEC,1
254,Harrier XZA Plus Dual Tone,10
255,911 Carrera 4,17
256,Wagon R LXI CNG (O),2
257,Ciaz Delta 1.3 Hybrid,2
258,Tucson GL 2WD AT Petrol,3
259,Polo 1.2 TDI,11
260,i20 Sportz 1.2,3
261,V40 D3 Kinetic,20
262,Jazz V AT Petrol,1
263,S-Class S 350D [2018-2020],5
264,Jazz S,1
265,3-Series 320d Luxury Edition,6
266,Evoque HSE Dynamic,19
267,Xylo D2 BS-IV,14
268,Venue SX 1.5 CRDi,3
269,Scorpio S11 4WD 7 STR,14
270,Swift VXi,2
271,Compass Limited (O) 1.4 Petrol AT [2017-2020],16
272,Swift VDi,2
273,WR-V S MT Petrol,1
274,Vento TSI,11
275,Duster RXL Petrol,9
276,Fiesta Style Diesel [2011-2014],12
277,5-Series 530i Sport Line,6
278,Safari 2.2 EX 4x2,10
279,Seltos GTX Plus AT 1.4 [2019-2020],18
280,Cayenne Platinum Edition Diesel,17
281,X5 xDrive30d xLine,6
282,Ecosport Trend 1.5 TDCi,12
283,Grand i10 NIOS Magna 1.2 Kappa VTVT,3
284,Elite i20 Sportz 1.4,3
285,Elantra 1.8 SX MT,3
286,Swift Lxi (O) [2014-2017],2
287,Thar AX 4-STR Convertible Petrol MT,14
288,Swift VXi [2014-2017],2
289,DZire VDi,2
290,5-Series 520d M Sport,6
291,Wagon R VXI+,2
292,Vitara Brezza ZDi Plus,2
293,Swift DZire LXi,2
294,Linea Emotion 1.4,24
295,City ZX CVT Petrol,1
296,Tucson GLS 2WD AT Petrol,3
297,Innova 2.7 VX 7 STR [2016-2020],4
298,TT 2.0 TFSI Quattro,13
299,Tiago Revotron XTA [2017-2019],10
300,City E [2013-2016],1
301,Alto 800 Vxi (Airbag),2
302,Nexon XZ Plus Dark Edition,10
303,Ecosport Ambiente 1.5L TDCi,12
304,Jazz SV Petrol,1
305,i10 Sportz 1.2 Kappa2,3
306,Amaze 1.2 VX AT i-VTEC,1
307,C-Class C 200 Progressive [2018-2020],5
308,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,3
309,Xcent E Plus CRDi,3
310,Evoque SE R-Dynamic,19
311,Astor Sharp EX 1.5 MT,15
312,Grande GX,10
313,Innova 2.0 V,4
314,Etios Liva VD Dual Tone,4
315,City SV Diesel,1
316,Scorpio S10,14
317,Superb L&K TSI AT,7
318,i20 Active 1.4 SX,3
319,Ciaz Zeta 1.4 AT,2
320,E-Class E 220d Exclusive [2019-2019],5
321,Thar AX 6-STR Soft Top Diesel MT,14
322,City S Diesel,1
323,Baleno Alpha 1.2 AT,2
324,Celerio X Zxi AMT [2017-2019],2
325,Wagon R LXI ABS,2
326,Baleno Delta 1.2 AT,2
327,Kiger RXT Turbo CVT,9
328,Wagon R VXi 1.0 [2019-2019],2
329,E-Class 200 K Classic,5
330,Eon 1.0 Kappa Magna + [2014-2016],3
331,S-Class 350 L,5
332,S-Presso VXi CNG,2
333,Innova 2.4 VX 8 STR [2016-2020],4
334,Seltos GTX Plus AT 1.5 Diesel [2019-2020],18
335,Creta SX (O) 1.5 Petrol CVT [2020-2022],3
336,Rapid Ambition 1.6 TDI CR MT,7
