car_id,model_id,fuel_id,transmission_id,location_id,owner_id,Price,Year,Kilometer,Engine,Seating Capacity
1,1,1,1,1,1,505000,2017,87150,1198 cc,5
2,2,2,1,2,2,450000,2014,75000,1248 cc,5
3,3,1,1,3,1,220000,2011,67000,1197 cc,5
4,4,1,1,4,1,799000,2019,37500,1197 cc,5
5,5,2,1,5,1,1950000,2018,69000,2393 cc,7
6,6,1,1,1,1,675000,2017,73315,1373 cc,5
7,7,1,2,5,2,1898999,2015,47000,1991 cc,5
8,8,2,2,6,2,2650000,2017,75000,1995 cc,5
9,9,1,2,5,1,1390000,2017,56000,1798 cc,5
10,10,2,1,5,1,575000,2015,85000,1461 cc,5
11,11,1,1,5,1,591000,2017,20281,1197 cc,5
12,12,1,1,7,1,459999,2018,22541,999 cc,5
13,13,1,2,7,1,1075000,2019,30672,1462 cc,5
14,14,2,1,7,1,1695000,2019,20856,1956 cc,5
15,15,1,2,7,1,944999,2017,41417,1197 cc,5
16,16,1,2,7,1,569000,2016,11471,998 cc,5
17,17,1,1,7,1,449000,2019,3583,796 cc,5
18,18,1,2,7,1,894999,2018,21365,1197 cc,5
19,19,1,2,7,1,699000,2020,30777,1197 cc,5
20,20,1,1,8,1,740000,2016,60125,1591 cc,5
21,21,1,2,5,1,470000,2020,2169,998 cc,5
22,22,1,2,7,1,765000,2015,60240,1197 cc,5
23,23,1,2,7,1,589000,2018,13772,1086 cc,5
24,24,1,1,7,1,999000,2019,27464,998 cc,5
25,25,3,1,8,1,370000,2019,47377,998 cc,4
26,26,1,1,5,1,325000,2013,23086,1197 cc,5
27,27,1,1,5,1,1175000,2019,36313,1591 cc,5
28,28,1,1,5,1,351000,2014,39276,1198 cc,5
29,29,1,1,5,1,551000,2015,47752,1197 cc,5
30,30,1,1,8,1,819999,2018,27963,1199 cc,5
31,31,1,1,5,1,990000,2020,24013,998 cc,5
32,32,2,2,9,1,925000,2016,66000,1582 cc,5
33,33,1,1,5,1,535000,2015,28000,999 cc,5
34,34,1,2,5,1,860000,2013,67000,1197cc,5
35,35,3,1,10,2,145000,2009,72000,1086 cc,5
36,36,1,1,5,1,409000,2018,27069,1199 cc,5
37,37,2,1,11,1,490000,2018,43000,1047 cc,5
38,38,2,1,5,1,1900000,2019,71000,2393 cc,8
39,39,2,2,5,2,3850000,2017,45600,2143 cc,5
40,40,2,1,11,1,1125000,2018,60000,1582 cc,5
41,41,2,2,12,1,2300000,2014,105101,2143 cc,5
42,42,1,2,5,1,1095000,2016,45000,1798 cc,5
43,43,2,2,13,1,1575000,2013,66000,1968 cc,5
44,44,1,2,5,1,2400000,2010,34105,1796 cc,2
45,29,1,1,11,1,525000,2015,68397,1197 cc,5
46,45,2,1,14,2,625000,2015,65000,2498 cc,6
47,46,1,1,8,1,605000,2019,27469,1197 cc,5
48,47,1,2,8,1,412000,2016,41058,998 cc,5
49,48,2,1,5,1,625000,2016,51330,1248 cc,5
50,49,1,1,5,1,511000,2015,45969,1373 cc,5
51,50,2,2,5,1,1150000,2017,66602,1582 cc,5
52,51,1,1,5,1,885000,2016,57983,1591 cc,5
53,52,1,2,5,1,470000,2019,11183,999 cc,5
54,53,2,1,5,1,1611000,2019,46301,1956 cc,5
55,54,1,2,5,2,475000,2017,34867,1199 cc,5
56,55,2,1,8,1,865000,2015,43634,2494 cc,7
57,56,2,2,5,1,3800000,2018,9512,1995 cc,5
58,57,2,2,5,1,2475000,2020,11293,1956 cc,5
59,58,2,1,15,2,400000,2014,78000,2179 cc,8
60,59,1,1,12,1,440000,2016,50374,1198 cc,5
61,60,1,2,8,1,2800000,2017,15900,1998 cc,5
62,61,1,1,5,1,645000,2017,64000,1497 cc,5
63,62,2,1,16,1,365000,2013,78000,1199 cc,5
64,63,1,1,5,1,1044999,2021,24000,1462 cc,5
65,64,1,1,1,2,515000,2019,40310,1196 cc,7
66,65,1,2,5,1,455000,2015,69700,1197 cc,5
67,66,2,2,13,1,1800000,2012,74073,1995 cc,5
68,67,2,2,5,1,3499000,2019,73000,2755 cc,7
69,68,1,1,17,3,190000,2006,130000,1799 cc,5
70,69,2,2,5,1,1250000,2012,50000,1198cc,5
71,70,1,2,18,1,775000,2021,24000,1197 cc,5
72,71,2,1,18,1,825000,2021,43000,1493 cc,5
73,72,2,2,19,1,2250000,2016,40500,1968 cc,5
74,73,1,2,5,1,865000,2017,49013,1497 cc,5
75,74,2,1,5,1,299000,2013,64983,1399 cc,5
76,75,1,1,5,1,570000,2017,92270,1199 cc,5
77,76,1,1,5,1,385000,2013,65000,1198 cc,5
78,77,2,1,20,1,350000,2014,110000,1498 cc,5
79,78,1,2,8,1,2345000,2017,47000,2494 cc,5
80,79,1,2,21,1,1650000,2022,10000,1997 cc,4
81,80,2,2,13,2,1100000,2011,51500,2143 cc,5
82,81,2,2,1,1,2900000,2018,35000,1968 cc,5
83,82,1,1,22,1,545000,2017,61518,1197 cc,5
84,83,2,2,8,1,2990000,2018,34000,1995 cc,5
85,84,1,1,5,1,615000,2017,36058,1197 cc,5
86,32,2,2,23,1,890000,2016,88000,1582 cc,5
87,85,1,1,5,1,430000,2015,98112,1598 cc,5
88,86,2,2,7,1,1650000,2013,58000,2143 cc,5
89,87,1,2,5,1,1599000,2015,92355,2494 cc,5
90,88,1,1,23,1,691000,2019,16652,1197 cc,5
91,89,2,1,5,1,650000,2016,76584,1461 cc,5
92,90,3,1,5,1,415000,2015,42500,998 cc,5
93,91,2,1,24,1,669000,2016,70000,1248 cc,5
94,92,2,2,25,2,2950000,2015,84700,2993 cc,5
95,93,2,2,13,2,3900000,2018,83400,2914cc,5
96,94,1,2,5,1,16200000,2022,2766,2995 cc,4
97,95,1,2,26,2,5100000,2017,56000,1991 cc,4
98,96,1,1,5,1,525000,2015,68766,1197 cc,5
99,97,1,1,27,1,750000,2018,16339,1591 cc,5
100,98,1,1,5,1,445000,2016,63882,1198 cc,5
101,99,1,1,28,1,493000,2012,28732,1798 cc,5
102,100,1,1,29,1,611000,2017,51349,1197 cc,5
103,65,1,2,30,1,475000,2014,61866,1197 cc,5
104,51,1,1,5,1,925000,2017,29401,1591 cc,5
105,101,2,2,19,1,1325000,2012,98580,1968 cc,5
106,83,2,2,8,1,3900000,2021,8000,1995 cc,5
107,102,2,1,7,1,1299000,2020,31348,1497 cc,5
108,103,2,1,27,1,580000,2018,28851,1248 cc,5
109,59,1,1,27,1,229000,2013,38175,1450cc,4
110,104,1,1,5,1,1575000,2021,8519,1997 cc,4
111,105,1,1,1,1,375000,2011,78000,1497 cc,5
112,106,2,2,5,1,2250000,2015,48000,2143 cc,5
113,107,2,2,31,2,1400000,2014,143000,2982 cc,7
114,108,2,1,32,1,425000,2017,39000,1248 cc,5
115,109,1,2,5,2,425000,2014,24000,1598 cc,5
116,110,1,1,10,2,250000,2015,62000,796 cc,5
117,111,2,1,21,2,425000,2012,78000,1248 cc,7
118,112,4,1,3,4,120000,2009,48500,1086 cc,5
119,113,2,1,2,2,235000,2014,82000,1399 cc,5
120,72,2,2,7,1,3050000,2020,40910,1968 cc,5
121,114,2,1,7,1,2145000,2020,10290,1956 cc,5
122,115,1,2,7,1,1245000,2021,10530,998 cc,5
123,29,1,1,15,1,549000,2015,61900,1197 cc,5
124,62,2,1,7,2,484999,2013,78000,1199 cc,5
125,116,1,1,8,1,415000,2014,57402,1197 cc,5
126,35,3,1,10,1,200000,2013,57000,1086 cc,5
127,117,1,1,15,1,375000,2015,87500,1197 cc,5
128,118,5,2,5,1,1375000,2021,16000,998cc,5
129,119,1,2,8,1,1875000,2022,18000,1353 cc,5
130,120,1,2,23,1,2950000,2020,10700,1984 cc,5
131,121,2,2,33,1,4900000,2018,78000,2967 cc,7
132,115,1,2,1,1,1050000,2020,16282,998 cc,5
133,122,2,1,34,3,470000,2013,66000,1582 cc,5
134,123,1,1,32,2,345000,2017,72019,998 cc,5
135,124,2,2,13,1,1490000,2013,195000,1995 cc,5
136,125,2,1,32,2,550000,2007,92170,2609 cc,7
137,126,1,1,5,1,484999,2018,55221,1197 cc,5
138,67,2,2,22,1,3350000,2018,25000,2755 cc,7
139,127,1,1,8,2,210000,2011,58888,1236cc,5
140,128,1,2,8,5,5651000,2022,1,1984 cc,5
141,129,1,1,35,1,890000,2020,23500,1498 cc,5
142,116,1,1,10,2,325000,2012,68000,1197 cc,5
143,130,1,2,5,1,1390000,2019,29096,1591 cc,5
144,126,1,1,10,1,459999,2016,61223,1197 cc,5
145,131,2,1,2,1,1075000,2017,86000,1956 cc,5
146,132,2,1,2,1,484999,2013,87000,1582 cc,5
147,133,1,1,10,1,385000,2013,79287,1197 cc,5
148,93,2,2,1,2,4400000,2018,47009,1234cc,5
149,134,2,2,19,1,3900000,2018,48945,1968 cc,5
